minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2880,-0.00011541243,293.15,293.14993,-0.00011541243,293.15,0.70285577,0.6461714,293.08728,273.15,293.15,0.00023082487,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-16980.672,172828.64,0.05917141336908571,0.029585706684542856,0.029585706684542856,0.0,0.0,1.3490272,0.05917141336908571,0.0,1.3490272,-1.1727295
2881,-8.6821005e-05,293.15,293.14896,-8.6821005e-05,293.15,0.33176136,0.3164294,292.95557,273.15,293.15,0.00017364201,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-9785.046,172889.08,0.7567162747079692,0.3783581373539846,0.3783581373539846,0.0,0.0,0.64819074,0.7567162747079692,0.0,0.64819074,-1.3044434
2882,-8.176879e-06,293.15,293.14825,-8.176879e-06,293.15,0.005454541,0.005449359,292.8247,273.15,293.15,1.6353759e-05,293.15,293.15,1.0,1.0,0.0,0.0,0.0,0.0,343.15,343.15,-129.11015,172949.62,0.11947906084497362,0.05973953042248681,0.05973953042248681,0.0,0.0,0.0109039005,0.11947906084497362,0.0,0.0109039005,-1.4353027
2883,-6.06779e-07,293.15,293.1482,-6.06779e-07,293.15,1.7030232e-05,1.701288e-05,292.69693,273.15,293.15,1.213558e-06,293.15,293.15,0.83287317,0.83287317,0.0,0.0,0.0,0.0,343.15,343.15,-1.006302,173009.25,0.009177236048180104,0.004588618024090052,0.004588618024090052,0.0,0.0,3.4043114e-05,0.009177236048180104,0.0,3.4043114e-05,-1.5630798
2884,-4.503248e-08,293.15,293.1482,-4.503248e-08,293.15,2.820855e-08,2.8176482e-08,292.56885,273.15,293.15,9.006496e-08,293.15,293.15,0.18355186,0.18355186,0.0,0.0,0.0,0.0,343.15,343.15,-0.095183946,173069.5,0.0006810942575555257,0.00034054712877776283,0.00034054712877776283,0.0,0.0,5.6385034e-08,0.0006810942575555257,0.0,5.6385034e-08,-1.6911621
2885,-2.6119e-09,293.15,293.1482,-2.6119e-09,293.15,3.4093048e-11,3.40543e-11,292.4433,273.15,293.15,5.2238e-09,293.15,293.15,0.009202322,0.009202322,0.0,0.0,0.0,0.0,343.15,343.15,-0.13276532,173129.06,3.950371260576929e-05,1.9751856302884646e-05,1.9751856302884646e-05,0.0,0.0,6.814735e-11,3.950371260576929e-05,0.0,6.814735e-11,-1.8167114
2886,-7.939623e-12,293.15,293.1482,-7.939623e-12,293.15,2.2764184e-15,2.2738314e-15,292.317,273.15,293.15,1.5879246e-11,293.15,293.15,0.0002897252,0.0002897252,0.0,0.0,0.0,0.0,343.15,343.15,-0.045934748,173189.5,1.2008291985746194e-07,6.004145992873097e-08,6.004145992873097e-08,0.0,0.0,4.55025e-15,1.2008291985746194e-07,0.0,4.55025e-15,-1.9430237
2887,-1.4927084e-14,293.15,293.1482,-1.4927084e-14,293.15,4.5073938e-20,4.5022727e-20,292.19266,273.15,293.15,2.9854168e-14,293.15,293.15,7.773934e-06,7.773934e-06,0.0,0.0,0.0,0.0,343.15,343.15,-0.002858687,173249.5,2.2576485314210858e-10,1.1288242657105429e-10,1.1288242657105429e-10,0.0,0.0,9.009667e-20,2.2576485314210858e-10,0.0,9.009667e-20,-2.0673523
2888,-6.7330464e-16,293.15,293.1482,-6.7330464e-16,293.15,2.5526692e-23,2.5497214e-23,292.06937,273.15,293.15,1.3466093e-15,293.15,293.15,2.8249633e-07,2.8249633e-07,0.0,0.0,0.0,0.0,343.15,343.15,-0.0001645243,173309.5,1.0183403870899322e-11,5.091701935449661e-12,5.091701935449661e-12,0.0,0.0,5.1023905e-23,1.0183403870899322e-11,0.0,5.1023905e-23,-2.1906433
2889,-4.42693e-17,293.15,293.1482,-4.4269317e-17,293.15,2.2829348e-26,2.2812022e-26,291.94714,273.15,293.15,8.8538614e-17,293.15,293.15,1.211358e-07,1.211358e-07,0.0,0.0,0.0,0.0,343.15,343.15,-9.266693e-06,173369.5,6.695516493904461e-13,3.347757746524116e-13,3.3477589975944026e-13,0.0,0.0,4.5641372e-26,6.695516744118518e-13,0.0,4.5641372e-26,-2.3128662
